Compound Name,Alternative Name,Primary Target 1,Primary Target 2,Primary Target 3,Primary Target Kinase Group,Measured Kd (Primary Target 1) [nM],Published biochemical Kd/Ki/IC50 (Primary Target 1) [nM],Reference,ZINC ID,SMILES
CI-1033,Canertinib,EGFR,ERBB2,,TK,0.19,0.8,"Semin. Oncol. 29, 11 (2002)",ZINC000027439698,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1
CI-1040,,MEK1,MEK2,,STE,120,300,"Biochem. J. 351, 95 (2000)",ZINC000001489691,O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl
CP-690550,Tofacitinib,JAK3,,,TK,0.16,1,"Science 302, 875 (2003)",ZINC000003818808,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12
Crizotinib,,ALK,MET,,TK,3.3,not reported,"Cancer Res. 67, 4408 (2007)",ZINC000035902489,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
Dasatinib,,ABL1,SRC,,TK,0.046,0.6,"Cancer Res. 65, 4500 (2005)",ZINC000003986735,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
Erlotinib,,EGFR,,,TK,0.67,2,"Cancer Res. 57, 4838 (1997)",ZINC000001546066,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
EXEL-2880/GSK-1363089,Foretinib,MET,AXL,VEGFR2,TK,1.4,3,"Mol. Cancer Ther. 10, 518 (2011)",ZINC000043204048,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1
Flavopiridol,Alvocidib,CDK2,CDK4,,CMGC,550,100,"Cancer Res. 56, 2973 (1996)",ZINC000021288966,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1
GDC-0879,,BRAF,,,TKL,0.19,< 1,"Bioorg. Med. Chem. Lett. 18, 4692 (2008)",ZINC000100015335,OCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1
GDC-0941,,PIK3CA,,,Lipid,1.1,3,"Mol. Cancer Ther. 8, 1725 (2009)",ZINC000016052714,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1
Gefitinib,,EGFR,,,TK,1,2,"Cancer Res. 62, 5749 (2002)",ZINC000019632614,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
GSK-1838705A,,IGF1R,ALK,,TK,7,1.6,"Mol. Cancer Ther. 8, 2811 (2009)",ZINC000043202844,CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)nc2[nH]ccc12
GSK-461364A,,PLK1,,,Other,0.094,0.5,"Cancer Res. 69, 6969 (2009)",ZINC000043154472,C[C@@H](Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F
GSK-690693,,AKT1,,,AGC,2.2,2,"Cancer Res. 68, 2366 (2008)",ZINC000034285211,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21
GW-2580,,CSF1R,,,TK,2.2,30,"Proc. Natl. Acad. Sci. USA 102, 16078 (2005)",ZINC000013985942,COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1
HKI-272,Neratinib,ERBB2,EGFR,,TK,6,59,"Cancer Res. 64, 3958 (2004)",ZINC000003916214,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C
Imatinib,,ABL1,KIT,PDGFRA/B,TK,1.1,11,"Chem. & Biol. 15, 1015 (2008)",ZINC000019632618,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
INCB18424,Ruxolitinib,JAK2,JAK3,JAK1,TK,0.036,2.8,"Blood 115, 3109 (2010)",ZINC000043207851,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1
JNJ-28312141,,CSF1R,FLT3,,TK,3.2,0.69,"Mol. Cancer Ther. 8, 3151 (2009)",ZINC000038226716,CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1
Ki-20227,,CSF1R,,,TK,0.83,2,"Mol. Cancer Ther. 5, 2634 (2006)",ZINC000003819294,COc1cc(Oc2ccnc3cc(OC)c(OC)cc23)ccc1NC(=O)N[C@H](C)c1nccs1
KW-2449,,FLT3,ABL1(T315I),AURKA,TK,15,6.6,"Blood 114, 1607 (2009)",ZINC000043201999,O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1
Lapatinib,,ERBB2,EGFR,,TK,7,13,"Cancer Res. 64, 6652 (2004)",ZINC000001550477,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
LY-317615,Enzastaurin,PRKCB,,,AGC,not meas.,6,"Cancer Res. 65, 7462 (2005)",ZINC000001494900,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21
LY-333531,Ruboxistaurin,PRKCB,,,AGC,not meas.,4.7,"J. Med. Chem. 39, 2664 (1996)",ZINC000003812168,CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1
MLN-120B,,IKK-beta,,,Other,19,60,"Blood 107, 4266 (2006)",ZINC000006717113,COc1c(Cl)cc2c([nH]c3cnccc32)c1NC(=O)c1cccnc1C
MLN-518,Tandutinib,FLT3,KIT,PDGFRA/B,TK,3,220,"Cancer Cell 1, 421 (2002)",ZINC000003966243,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1
MLN-8054,,AURKA,,,Other,6.5,4,"Proc. Natl. Acad. Sci. USA 104, 4106 (2007)",ZINC000018825334,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1
Nilotinib,,ABL1,KIT,PDGFRA/B,TK,10,7,"Cancer Res. 65, 4500 (2005)",ZINC000006716957,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1
Pazopanib,,VEGFR2,FLT1,FLT4,TK,14,30,"Mol. Cancer Ther. 6, 2012 (2007)",ZINC000011617039,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O
PD-173955,,ABL1,SRC,,TK,0.58,5,"Cancer Res. 62, 4236 (2002)",ZINC000012504479,CC(C)(C)c1nc2c3cc[nH]c(=O)c3c3cc(F)ccc3c2[nH]1
PHA-665752,,MET,,,TK,0.27,4,"Cancer Res. 63, 7345 (2003)",ZINC000003938668,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1
PI-103,,PIK3CA,,,Lipid,1.5,2,"Cancer Res. 67, 5840 (2007)",ZINC000003963016,Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1
PKC-412,Midostaurin,FLT3,KIT,,TK,11,not reported,"Cancer Cell 1, 433 (2002)",ZINC000100013130,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
PLX-4720,,BRAF,,,TKL,330,160,"Proc. Natl. Acad. Sci. USA 105, 3041 (2008)",ZINC000039059267,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F
PP-242,,MTOR,PIK3CA,,Atypical,3,8,"PLoS Biology 7, 371 (2009)",ZINC000036056301,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21
PTK-787,Vatalanib,VEGFR2,,,TK,62,37,"Cancer Res. 60, 2178 (2000)",ZINC000000007460,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
R406,Tamatinib,SYK,FLT3,,TK,19,30,"J. Pharmacol. Exp. Ther. 319, 998 (2006)",ZINC000006745792,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC
R547,,CDK2,CDK1,CDK4,CMGC,0.53,0.4,"Mol. Cancer Ther. 5, 2644 (2006)",ZINC000013983251,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N
SB-203580,,p38-alpha,,,CMGC,12,40,"Biochemistry 37, 13846 (1998)",ZINC000018274812,C[S@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)cc1
SGX-523,,MET,,,TK,0.19,2.7,"Mol. Cancer Ther. 8, 3181 (2009)",ZINC000039129916,Cn1cc(-c2ccc3nnc(Sc4ccc5ncccc5c4)n3n2)cn1
SKI-606,Bosutinib,ABL1,SRC,,TK,0.057,2.4,"Cancer Res. 66, 11314 (2006)",ZINC000022448983,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl
Sorafenib,,VEGFR2,FLT3,BRAF,TK,59,90,"Cancer Res. 64, 7099 (2004)",ZINC000001493878,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
Staurosporine,,PRKCH,Pan-Inhibitor,,AGC,4.8,1.3,"FEBS Lett. 362, 139 (1995)",ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
SU-14813,,VEGFR2,FLT1,PDGFRB,TK,2.3,50,"Mol. Cancer Ther. 5, 1774 (2006)",ZINC000018825342,Cc1[nH]c(/C=C2/C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1
Sunitinib,,KIT,VEGFR2,FLT3,TK,0.37,9,"Clin. Cancer Res. 9, 327 (2003)",ZINC000003964325,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
TAE-684,,ALK,,,TK,1.1,not reported,"Proc. Natl. Acad. Sci. USA 104, 270 (2007)",ZINC000055760827,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1
TG-100-115,,PIK3CG,,,Lipid,5.3,83,"J. Med. Chem. 50, 4279 (2007)",ZINC000006718666,Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1
TG-101348,,JAK2,,,TK,1.1,3,"Cancer Cell 13, 311 (2008)",ZINC000019862646,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1
Vandetanib,,RET,VEGFR2,EGFR,TK,34,100,"Cancer Res. 62, 7284 (2002)",ZINC000053683345,COc1cc2/c(=N\c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1
VX-680/MK-0457,Tozasertib,AURKA,AURKB,AURKC,Other,3.9,0.6,"Nat. Med. 10, 262 (2004)",ZINC000003820040,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)[nH]n1
VX-745,,p38-alpha,,,CMGC,2.8,0.8,"Nat. Struct. Biol. 10, 764-769 (2003)",ZINC000013493055,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl
